"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-06","0.00","0.0","3.0","40","48","31",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-07","0.00","0.0","2.0","48","63","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-08","0.32","1.5","0.0","38","57","18",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-09","0.00","0.0","1.0","24","31","16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-10","0.00","0.0","0.0","28","34","21",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-11","0.03","0.5","0.0","34","38","29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-12","0.24","1.0","0.0","38","45","30",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-13","0.00","0.0","0.0","40","45","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-14","0.00","0.0","0.0","34","40","28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-15","0.00","0.0","0.0","37","46","28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-16","0.00","0.0","0.0","39","45","32",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-17","0.00","0.0","0.0","41","48","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-18","0.00","0.0","0.0","44","50","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-19","0.00","0.0","0.0","43","52","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-20","0.14","0.0","0.0","42","43","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-21","0.01","0.0","0.0","42","45","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-22","0.00","0.0","0.0","46","56","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-23","0.80","1.0","0.0","40","46","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-24","0.10","0.0","1.0","39","44","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-25","0.00","0.0","0.0","44","48","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-26","0.00","0.0","0.0","43","50","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-27","0.04","0.0","0.0","44","49","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-28","2.98","0.0","0.0","43","49","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-29","0.00","0.0","0.0","52","59","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-30","0.00","0.0","0.0","54","63","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03-31","0.01","0.0","0.0","48","53","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-01","0.02","0.0","0.0","47","53","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-02","1.80","0.0","0.0","49","57","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-03","0.09","0.0","0.0","45","50","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-04","0.00","0.0","0.0","50","58","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-05","0.00","0.0","0.0","56","68","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-06","0.00","0.0","0.0","64","75","52",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-07","0.47","0.0","0.0","64","78","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-08","0.38","0.0","0.0","53","63","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-09","0.00","0.0","0.0","54","63","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-10","0.00","0.0","0.0","59","74","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-11","0.00","0.0","0.0","52","60","43",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-12","0.00","0.0","0.0","48","58","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-13","0.00","0.0","0.0","49","57","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-14","0.00","0.0","0.0","55","66","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-15","0.00","0.0","0.0","49","57","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-16","0.00","0.0","0.0","52","61","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-17","0.00","0.0","0.0","60","77","42",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-18","0.00","0.0","0.0","66","77","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-19","0.00","0.0","0.0","64","77","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-20","0.00","0.0","0.0","76","87","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-21","0.00","0.0","0.0","61","72","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-22","0.00","0.0","0.0","52","57","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-23","0.99","0.0","0.0","54","59","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-24","0.16","0.0","0.0","50","56","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-25","0.01","0.0","0.0","47","54","40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-26","0.00","0.0","0.0","59","68","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-27","0.49","0.0","0.0","59","66","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-28","0.00","0.0","0.0","58","66","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-29","0.00","0.0","0.0","56","64","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04-30","0.40","0.0","0.0","54","59","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-01","0.15","0.0","0.0","58","64","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-02","0.23","0.0","0.0","55","65","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-03","0.00","0.0","0.0","50","59","41",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-04","0.00","0.0","0.0","53","62","44",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-05","0.00","0.0","0.0","55","63","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-06","0.02","0.0","0.0","50","54","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-07","0.01","0.0","0.0","55","63","46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-08","0.00","0.0","0.0","57","64","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-09","0.00","0.0","0.0","61","71","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-10","0.00","0.0","0.0","59","68","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-11","0.00","0.0","0.0","62","73","50",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-12","0.00","0.0","0.0","61","69","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-13","0.00","0.0","0.0","55","64","45",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-14","0.00","0.0","0.0","64","73","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-15","0.01","0.0","0.0","68","77","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-16","0.00","0.0","0.0","63","70","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-17","0.00","0.0","0.0","61","69","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-18","0.00","0.0","0.0","62","70","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-19","0.00","0.0","0.0","62","70","53",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-20","0.11","0.0","0.0","53","57","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-21","0.26","0.0","0.0","59","71","47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-22","0.10","0.0","0.0","57","63","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-23","0.00","0.0","0.0","57","64","49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-24","0.05","0.0","0.0","56","64","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-25","0.26","0.0","0.0","51","53","48",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-26","0.13","0.0","0.0","55","59","51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-27","0.00","0.0","0.0","68","79","56",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-28","0.15","0.0","0.0","68","79","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-29","0.00","0.0","0.0","65","75","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-30","0.00","0.0","0.0","66","75","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05-31","0.00","0.0","0.0","68","79","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-01","0.00","0.0","0.0","61","68","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-02","0.00","0.0","0.0","62","69","54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-03","0.22","0.0","0.0","63","70","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-04","0.13","0.0","0.0","72","82","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-05","0.00","0.0","0.0","77","88","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-06","0.58","0.0","0.0","77","86","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-07","0.00","0.0","0.0","77","87","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-08","0.00","0.0","0.0","83","93","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-09","0.00","0.0","0.0","80","88","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-10","0.47","0.0","0.0","76","82","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-11","0.46","0.0","0.0","78","85","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-12","0.00","0.0","0.0","80","87","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-13","0.00","0.0","0.0","82","88","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-14","0.00","0.0","0.0","85","91","78",
